Pt,Pd,Au,Ir,k,V0,u1,s1,A1,A2,File
0.5273,0.1176,0.3237,0.0314,13.184915906733346,1.6929026870456543,1.221245308914472,0.08298683866449878,0.03937805808192867,0.004400599128387302,Run10-2-spot27.DTA.csv
0.4087,0.1258,0.4146,0.0509,12.853755569692353,1.7356374351752923,1.229232585506645,0.09310236630630697,0.053569309659393265,0.0027286667320384423,Run10-2-spot28.DTA.csv
0.2973,0.1163,0.5138,0.0726,12.071123638619808,1.7386349799353757,1.3049199147312667,0.12497867039444947,0.0577755484717891,0.0021416781125942323,Run10-2-spot29.DTA.csv
0.1444,0.3373,0.3648,0.1535,12.958795198198686,1.7269719172685236,1.4000951350868749,0.1997668379531881,0.061993845219089856,0.016836681421979482,Run10-2-spot3.DTA.csv
0.1975,0.0984,0.5921,0.1119,11.581027421293221,1.7273314611427233,1.3587970477816633,0.0619561269276399,0.05802594083285838,0.0037992838695480938,Run10-2-spot30.DTA.csv
0.1397,0.0928,0.6118,0.1556,10.059565133317635,1.6894560309508715,1.3863887286395147,0.0733425825960715,0.042495515000166954,0.007706377660927603,Run10-2-spot31.DTA.csv
0.1046,0.0912,0.5719,0.2323,8.61732541974225,1.717487389765475,1.400022771892403,0.08305386047041965,0.06278179381395187,0.011909452856768536,Run10-2-spot32.DTA.csv
0.0831,0.0973,0.4826,0.337,9.969659759403477,1.6419100601638992,1.446819639138635,0.12436669150550318,0.04693279038378845,0.01735479391731128,Run10-2-spot33.DTA.csv
0.5665,0.095,0.3169,0.0216,11.498448322843121,1.6941380489949627,1.2464689699136517,0.08681170749028004,0.02900184668284651,0.0011638654301394684,Run10-2-spot34.DTA.csv
0.4542,0.1072,0.3981,0.0405,12.096077146893046,1.7395803569774464,1.2503403366054153,0.09718956467190179,0.05034305218545507,0.001120947276633496,Run10-2-spot35.DTA.csv
0.3267,0.1005,0.5033,0.0695,12.701391519531457,1.7321125738347358,1.3171744223224802,0.19623961885228458,0.048698751621442535,0.0008736201303622103,Run10-2-spot36.DTA.csv
0.2258,0.0858,0.5901,0.0984,12.20408091908582,1.7346753385089864,1.3476670372999264,0.04901025440619256,0.059308307642870414,0.0023214320130619825,Run10-2-spot37.DTA.csv
0.1493,0.0806,0.6372,0.1329,12.148023817951643,1.714796673652757,1.3654011238528228,0.05069915367540411,0.057417599058931165,0.005421889529749979,Run10-2-spot38.DTA.csv
0.1098,0.0749,0.626,0.1894,11.03071020930997,1.7088113792383797,1.380461905125092,0.06089475416969279,0.05618132522929456,0.007644206089558664,Run10-2-spot39.DTA.csv
0.1071,0.3289,0.3434,0.2206,8.966808483292166,1.6969943610258418,1.4031803610974742,0.129986232566548,0.06304972632056063,0.016191134864077274,Run10-2-spot4.DTA.csv
